GO:0003008,GO:0005576,GO:0005681,GO:0005737,GO:0005829,GO:0006109,GO:0009887,GO:0016337,GO:0030099,GO:0031224,GO:0043234,GO:0044428,GO:0044459,GO:0048523,GO:1902532,degree,bridgeness
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,27,6.1999999161344E-05
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,0.010710000060499
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,153,0.029881000518799
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26,1.29999998534913E-05
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4.70000013592653E-05
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,12,0.000537000014447
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,3,0
0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,11,3.99999998990097E-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.098741002380848
0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,71,0.001295999973081
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.99999997475243E-07
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.00000010611257E-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.49999996210681E-05
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,21,0.000872000004165
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0.000467000005301
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,107,0.004914999939501
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,30,0.000327999994624
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1.70000002981396E-05
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,119,0.007220999803394
0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,156,0.009887999854982
1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,6,0
